PREV_MRR_MONTH,MRR_MONTH,MRR_CUTOFF,PREV_MRR_CENTS,MRR_CENTS,NET_MRR_CHANGE_CENTS,MRR_CHANGE_RATE,CUSTOMER_COUNT,SUBSCRIPTION_COUNT
2023-11-01,2023-12-01,2024-01-01,,622346475,,,17244,17669
2023-12-01,2024-01-01,2024-02-01,622346475,644747492,22401017,0.035994,17773,18230
2024-01-01,2024-02-01,2024-03-01,644747492,664409869,19662377,0.030496,18192,18683
2024-02-01,2024-03-01,2024-04-01,664409869,688560117,24150248,0.036348,18721,19244
2024-03-01,2024-04-01,2024-05-01,688560117,708195446,19635329,0.028517,19208,19772
2024-04-01,2024-05-01,2024-06-01,708195446,729096926,20901480,0.029514,19696,20305
2024-05-01,2024-06-01,2024-07-01,729096926,764009885,34912959,0.047885,20169,20823
2024-06-01,2024-07-01,2024-08-01,764009885,782101674,18091789,0.023680,20609,21318
2024-07-01,2024-08-01,2024-09-01,782101674,795498050,13396376,0.017129,20887,21651
2024-08-01,2024-09-01,2024-10-01,795498050,815936803,20438753,0.025693,21227,22056
2024-09-01,2024-10-01,2024-11-01,815936803,832698030,16761227,0.020542,21545,22442
2024-10-01,2024-11-01,2024-12-01,832698030,852402556,19704526,0.023663,21830,22774
2024-11-01,2024-12-01,2025-01-01,852402556,871350396,18947840,0.022229,22039,23068
